time,rainfall_mm
2024-06-04T12:00:00,0.0
2024-06-04T13:00:00,0.0
2024-06-04T14:00:00,0.0
2024-06-04T15:00:00,0.0
2024-06-04T16:00:00,0.0
2024-06-05T00:00:00,0.0
2024-06-05T01:00:00,0.0
2024-06-05T02:00:00,0.0
2024-06-05T03:00:00,0.0
2024-06-05T04:00:00,0.0
2024-06-05T05:00:00,0.0
2024-06-05T06:00:00,0.0
2024-06-05T07:00:00,0.0
2024-06-05T08:00:00,0.0
2024-06-05T09:00:00,0.0
2024-06-05T10:00:00,0.0
2024-06-05T11:00:00,0.0
2024-06-05T12:00:00,0.0
2024-06-05T13:00:00,0.0
2024-06-05T14:00:00,0.0
2024-06-05T15:00:00,0.0
2024-06-05T16:00:00,0.0
2024-06-05T17:00:00,0.0
2024-06-05T18:00:00,0.0
2024-06-05T19:00:00,0.0
2024-06-05T20:00:00,0.0
2024-06-05T21:00:00,0.0
2024-06-05T22:00:00,0.0
2024-06-05T23:00:00,0.0
2024-06-06T00:00:00,0.0
2024-06-06T01:00:00,0.0
2024-06-06T02:00:00,0.0
2024-06-06T03:00:00,0.0
2024-06-06T04:00:00,0.0
2024-06-06T05:00:00,0.0
2024-06-06T06:00:00,0.0
2024-06-06T07:00:00,0.0
2024-06-06T08:00:00,0.0
2024-06-06T09:00:00,0.0
2024-06-06T10:00:00,0.0
2024-06-06T11:00:00,0.0
2024-06-06T12:00:00,0.0
2024-06-06T13:00:00,0.0
2024-06-06T14:00:00,0.0
2024-06-06T15:00:00,0.0
2024-06-06T16:00:00,0.0
2024-06-07T00:00:00,0.0
2024-06-07T01:00:00,0.0
2024-06-07T02:00:00,0.0
2024-06-07T03:00:00,0.0
2024-06-07T04:00:00,0.0
2024-06-07T05:00:00,0.0
2024-06-07T06:00:00,0.0
2024-06-07T07:00:00,0.0
2024-06-07T08:00:00,0.0
2024-06-07T09:00:00,0.0
2024-06-07T10:00:00,0.0
2024-06-07T11:00:00,0.0
2024-06-07T12:00:00,0.0
2024-06-07T13:00:00,0.0
2024-06-07T14:00:00,0.0
2024-06-07T15:00:00,0.0
2024-06-07T16:00:00,0.0
2024-06-08T00:00:00,0.0
2024-06-08T01:00:00,0.0
2024-06-08T02:00:00,0.0
2024-06-08T03:00:00,0.0
2024-06-08T04:00:00,0.3
2024-06-08T05:00:00,0.0
2024-06-08T06:00:00,0.1
2024-06-08T07:00:00,0.0
2024-06-08T08:00:00,0.0
2024-06-08T09:00:00,0.0
2024-06-08T10:00:00,0.0
2024-06-08T11:00:00,0.0
2024-06-08T12:00:00,0.0
2024-06-08T13:00:00,0.0
2024-06-08T14:00:00,0.0
2024-06-08T15:00:00,0.0
2024-06-08T16:00:00,0.0
2024-06-09T00:00:00,0.0
2024-06-09T01:00:00,0.0
2024-06-09T02:00:00,0.0
2024-06-09T03:00:00,0.0
2024-06-09T04:00:00,0.0
2024-06-09T05:00:00,0.0
2024-06-09T06:00:00,0.0
2024-06-09T07:00:00,0.0
2024-06-09T08:00:00,0.0
2024-06-09T09:00:00,0.0
2024-06-09T10:00:00,0.0
2024-06-09T11:00:00,0.0
2024-06-09T12:00:00,0.0
2024-06-09T13:00:00,0.0
2024-06-09T14:00:00,0.0
2024-06-09T15:00:00,0.0
2024-06-09T16:00:00,0.0
2024-06-10T00:00:00,0.0
2024-06-10T01:00:00,0.0
2024-06-10T02:00:00,0.0
2024-06-10T03:00:00,0.0
2024-06-10T04:00:00,0.0
2024-06-10T05:00:00,1.5
2024-06-10T06:00:00,0.6
2024-06-10T07:00:00,0.0
2024-06-10T08:00:00,0.0
2024-06-10T09:00:00,0.0
2024-06-10T10:00:00,0.0
2024-06-10T11:00:00,0.0
2024-06-10T12:00:00,0.0
2024-06-10T13:00:00,0.0
2024-06-10T14:00:00,0.0
2024-06-10T15:00:00,0.0
2024-06-10T16:00:00,0.0
2024-06-11T00:00:00,0.0
2024-06-11T01:00:00,0.0
2024-06-11T02:00:00,0.0
2024-06-11T03:00:00,0.0
2024-06-11T04:00:00,0.0
2024-06-11T05:00:00,0.0
2024-06-11T06:00:00,0.0
2024-06-11T07:00:00,0.0
2024-06-11T08:00:00,0.0
2024-06-11T09:00:00,0.0
2024-06-11T10:00:00,0.0
2024-06-11T11:00:00,0.0
2024-06-11T12:00:00,0.0
2024-06-11T13:00:00,0.0
2024-06-11T14:00:00,0.0
2024-06-11T15:00:00,0.0
2024-06-11T16:00:00,0.0
2024-06-12T00:00:00,0.0
2024-06-12T01:00:00,0.0
2024-06-12T02:00:00,0.1
2024-06-12T03:00:00,0.0
2024-06-12T04:00:00,0.3
2024-06-12T05:00:00,0.0
2024-06-12T06:00:00,0.0
2024-06-12T07:00:00,0.0
2024-06-12T08:00:00,0.0
2024-06-12T09:00:00,0.0
2024-06-13T00:00:00,0.0
2024-06-13T01:00:00,0.0
2024-06-13T02:00:00,0.0
2024-06-13T03:00:00,0.0
